hwid,active_minutes,mean_load,median,p95,frac_high,frac_low
SW-115,102891,48.02413314413635,50.0,100.0,0.1101068120632514,0.40814065370148994
SW-088,71085,44.6991137370753,50.0,100.0,0.06748259126397975,0.17344024759091228
SW-106,68624,40.91610442410818,43.0,57.0,0.00489624621123805,0.366621007227792
SW-065,68914,30.7676717841561,30.0,50.0,4.353251879153728e-05,0.5302551005601184
