hwid,week,load_S125,load_S181,active_S125,active_S181,n
SW-065,2020-09-28,40.416893732970024,40.05875440658049,0.6938929854414824,0.6435999243713367,5289
SW-065,2020-10-05,40.938275434243174,41.08862745098039,0.6930352536543423,0.685189165950129,9304
SW-065,2020-10-12,40.61371841155235,40.61116166211708,0.695470237472539,0.689821110994874,9559
SW-065,2020-10-19,40.669156551509495,40.229885057471265,0.6789223454833597,0.6158478605388272,9465
SW-065,2020-10-26,41.50623885918004,40.995024875621894,0.7110266159695817,0.6581115335868187,9468
SW-065,2020-11-02,42.14393114533106,42.82295349469676,0.7074163732394366,0.8091989436619719,9088
SW-065,2020-11-09,41.65406515448521,43.005896542481906,0.79523438369892,0.8308651597817615,8981
SW-065,2020-11-16,45.922045051885604,43.739918682930075,0.7274635439681838,0.5524745912505523,9052
SW-065,2020-11-23,,48.3046357615894,0.0,0.08208306153511633,9198
SW-065,2020-11-30,,,0.0,0.0,8704
SW-065,2020-12-07,,,0.0,0.0,8803
SW-065,2020-12-14,,,0.0,0.0,9007
SW-065,2020-12-21,,,0.0,0.0,9076
SW-065,2020-12-28,,,0.0,0.0,9046
SW-065,2021-01-04,,,0.0,0.0,8956
SW-065,2021-01-11,,,0.0,0.0,3292
SW-088,2020-09-28,,,0.0,0.0,4678
SW-088,2020-10-05,46.13025210084034,51.458110516934056,0.030961363340705088,0.04865357096396514,7687
SW-088,2020-10-12,47.24102107450282,48.60911094783248,0.14529693362660112,0.1760900504593091,7729
SW-088,2020-10-19,46.02818489289741,48.07575757575758,0.10851480303401027,0.16148764374847077,8174
SW-088,2020-10-26,52.21805183199285,49.928495197438636,0.1271879972721073,0.10650147760854739,8798
SW-088,2020-11-02,50.76692913385827,50.84282624369142,0.07324950974737571,0.15999538585765372,8669
SW-088,2020-11-09,52.93896713615023,53.988606939409635,0.12603550295857988,0.2285207100591716,8450
SW-088,2020-11-16,53.654027541973214,54.16952642415923,0.21384485053854532,0.1763282100931865,8263
SW-088,2020-11-23,66.7051232417086,64.23492981007432,0.3415763025654589,0.3202856387199154,7562
SW-088,2020-11-30,82.36955439382626,77.81306122448979,0.37086276139038915,0.33928818723168536,7221
SW-088,2020-12-07,87.25191223832527,57.83443708609271,0.4437299035369775,0.060691318327974274,7464
SW-088,2020-12-14,86.93317819148938,73.08648648648648,0.380904140812967,0.14055970621755096,7897
SW-088,2020-12-21,65.38924319727892,58.419705916406166,0.3829527414824765,0.3515691781658322,8189
SW-088,2020-12-28,81.09166666666668,78.32895677027508,0.41877426185154687,0.4390071756263969,8501
SW-088,2021-01-04,57.462571332661966,63.7408003433108,0.3792971734148205,0.3955946014769544,7854
SW-088,2021-01-11,78.22409992652463,77.59517426273459,0.5925119721375708,0.054128573501668845,6891
