hwid,temp_bin,active_fraction,mean_load_all,mean_load_running,n
SW-065,-6.0,0.0,0.0,,117
SW-065,-4.0,0.0,0.0,,1237
SW-065,-2.0,0.04416796267496112,0.9362363919129082,21.197183098591548,3215
SW-065,0.0,0.034098639455782315,0.9281462585034014,27.219451371571072,11760
SW-065,2.0,0.07576687116564418,1.9831288343558282,26.17408906882591,16300
SW-065,4.0,0.0925901894627563,2.7605112899039708,29.81429572529783,15412
SW-065,6.0,0.1961095341459342,6.0769744531641345,30.987654320987655,11978
SW-065,8.0,0.3575739103931728,11.045514578888552,30.890157972496876,16405
SW-065,10.0,0.9312796208530806,28.769480380854787,30.892419136693942,15614
SW-065,12.0,0.9788185131696582,30.914655113128397,31.583643645050234,14541
SW-065,14.0,0.9718482252141983,30.125458996328028,30.998110831234257,11438
SW-065,16.0,0.9756704152249135,29.700475778546714,30.441094979496842,9248
SW-065,18.0,0.987012987012987,28.38370720188902,28.757177033492823,4235
SW-065,20.0,0.9923105089710729,29.98901501281582,30.22140221402214,2731
SW-065,22.0,0.9926393270241851,28.170347003154575,28.37923728813559,951
SW-088,-2.0,0.9646892655367232,47.58027306967984,49.32186432406051,708
SW-088,0.0,0.9328193832599119,51.98507097405775,55.72897809261445,2724
SW-088,2.0,0.9061376476630714,58.65333418935115,64.72894525530208,7788
SW-088,4.0,0.7496922445629873,40.27784616787489,53.725840783312044,14622
SW-088,6.0,0.5817103716198947,26.74784883027483,45.981385471587565,19563
SW-088,8.0,0.42799578901513774,18.952820028799266,44.28272547356517,27547
SW-088,10.0,0.44367433277825286,17.98327257452331,40.53259619936431,22219
SW-088,12.0,0.29440290967872296,9.6709705664444,32.849439487531455,24745
SW-088,14.0,0.22286881968815245,6.546873380421425,29.375456780280384,22511
SW-088,16.0,0.15644030793979088,4.049025240338581,25.882237727996085,17406
SW-088,18.0,0.07826685006877579,2.024621733149931,25.868189806678384,14540
SW-088,20.0,0.02920521680972021,0.7747742726563371,26.528625954198475,8971
SW-088,22.0,0.008490370677158831,0.28556636984883,33.63414634146341,4829
SW-088,24.0,0.031874405328258804,1.1841103710751666,37.149253731343286,2102
SW-088,26.0,0.1565217391304348,7.481159420289855,47.7962962962963,345
SW-088,28.0,0.1301775147928994,4.621301775147929,35.5,169
SW-106,2.0,0.9473684210526315,33.64035087719298,35.50925925925926,57
SW-106,4.0,0.9929824561403509,35.59583333333333,35.847393992932865,1140
SW-106,6.0,0.9975377039088951,41.47076023391813,41.57312557852514,3249
SW-106,8.0,0.8745304282494365,36.14410217881292,41.32972508591065,6655
SW-106,10.0,0.9369844935664797,38.32054877378203,40.89774061032864,9093
SW-106,12.0,0.8953548866592345,34.75827449523102,38.82066766276528,13455
SW-106,14.0,0.8465674852124037,33.14034773256856,39.146728774084266,11158
SW-106,16.0,0.6285276073619632,23.838803680981595,37.928013665202535,13040
SW-106,18.0,0.4366962217429507,17.01547647575685,38.964102798609844,12519
SW-106,20.0,0.3246627195962341,13.990892620272415,43.09362232187345,10303
SW-106,22.0,0.34463123644251625,14.681986623282718,42.60201940729085,11064
SW-106,24.0,0.4422521655437921,20.63020332050048,46.648054951033735,8312
SW-106,26.0,0.5954497907949791,31.07232827754533,52.18295271556141,3824
SW-106,28.0,0.8167202572347267,42.621489817792074,52.186154855643046,1555
SW-106,30.0,0.8028169014084507,42.213615023474176,52.58187134502924,213
SW-115,-12.0,0.964,42.555,44.1441908713693,250
SW-115,-10.0,0.9850644942294636,47.319246435845216,48.03669882839421,1473
SW-115,-8.0,0.9495495495495495,49.08828828828829,51.69639468690702,2220
SW-115,-6.0,0.8256588473790907,39.415218650448885,47.73789898281305,3453
SW-115,-4.0,0.6910652920962199,34.368900343642615,49.73321730482347,2910
SW-115,-2.0,0.5895990983738528,31.807518918048622,53.947706171490985,6211
SW-115,0.0,0.5383627233446222,31.472746117015063,58.46011388286334,17126
SW-115,2.0,0.4019682298588697,23.39213762842014,58.193996168883984,31602
SW-115,4.0,0.46892406918792146,26.64486953972442,56.82128790246952,34110
SW-115,6.0,0.4259253494380973,19.26307474395293,45.226410612483555,32123
SW-115,8.0,0.44131084663545606,20.706610637937843,46.9206927402863,35458
SW-115,10.0,0.4841536659993201,17.516091867185434,36.178785987360534,26473
SW-115,12.0,0.34049122160269113,10.000576010322105,29.37102449587224,21701
SW-115,14.0,0.14305937868659063,3.857176563114432,26.96206706981858,12715
SW-115,16.0,0.09238138686131386,2.600650091240876,28.151234567901234,4384
SW-115,18.0,0.05319148936170213,1.3323445171849426,25.048076923076923,2444
SW-115,20.0,0.14446227929373998,3.853932584269663,26.677777777777777,1246
SW-115,22.0,0.24573378839590443,6.121160409556314,24.90972222222222,293
SW-115,24.0,0.4153225806451613,10.431451612903226,25.116504854368934,248
SW-115,26.0,0.17582417582417584,4.554945054945055,25.90625,91
