temp_bin,mean_load,std_dev,n
-12.0,42.555,16.004006934258907,250
-10.0,47.319246435845216,14.327006647325744,1473
-8.0,49.08828828828829,18.543726511214267,2220
-6.0,38.1234593837535,23.22187632696267,3570
-4.0,24.353847992351817,27.161934387430183,4184
-2.0,23.115584501019672,30.235079891866132,10134
0.0,21.87676631867552,32.17621312640342,31610
2.0,22.06886469227043,33.34472588208043,55747
4.0,24.216093019218594,31.851209234702157,65284
6.0,20.169240904856554,25.99613289492318,66913
8.0,19.49746122117005,25.145230522231607,86065
10.0,22.628772190356813,21.18844650268815,73399
12.0,18.451052497246177,19.526038299323456,74442
14.0,15.751369144385645,19.30076032891615,57822
16.0,15.141489707639487,18.89687069338398,44078
18.0,10.845811844211275,17.898724266153685,33738
20.0,10.227545768640777,18.54213683420552,23251
22.0,11.227402695921107,19.75513573425827,17137
24.0,16.591348850252384,23.930830954494258,10698
26.0,28.595324726134585,28.0536020791098,4260
28.0,38.89641337973704,25.528115152566635,1724
30.0,42.213615023474176,24.27549530385159,213
